Comunidades autónomas,Género,Periodo,salario mediano,Variación Interanual (%)
08 Castilla-La Mancha,Hombres,2008,"17.456,35",
09 Cataluña,Ambos sexos,2022,"24.772,36","3,38"
09 Cataluña,Ambos sexos,2021,"23.962,36","3,36"
09 Cataluña,Ambos sexos,2020,"23.184,02","3,87"
09 Cataluña,Ambos sexos,2019,"22.319,40","0,76"
09 Cataluña,Ambos sexos,2018,"22.151,28","1,99"
09 Cataluña,Ambos sexos,2017,"21.719,75","2,51"
09 Cataluña,Ambos sexos,2016,"21.188,49","1,03"
09 Cataluña,Ambos sexos,2015,"20.972,14","1,8"
09 Cataluña,Ambos sexos,2014,"20.601,39","-0,78"
09 Cataluña,Ambos sexos,2013,"20.763,38","-1,09"
09 Cataluña,Ambos sexos,2012,"20.991,85","-1,21"
09 Cataluña,Ambos sexos,2011,"21.249,33","1,91"
09 Cataluña,Ambos sexos,2010,"20.851,50","1,05"
09 Cataluña,Ambos sexos,2009,"20.633,92","3,66"
09 Cataluña,Ambos sexos,2008,"19.904,44",
09 Cataluña,Mujeres,2022,"21.602,76","2,44"
09 Cataluña,Mujeres,2021,"21.087,54","3,44"
09 Cataluña,Mujeres,2020,"20.385,64","3,22"
09 Cataluña,Mujeres,2019,"19.750,00","4,34"
09 Cataluña,Mujeres,2018,"18.929,02","0,33"
09 Cataluña,Mujeres,2017,"18.865,83","2,68"
09 Cataluña,Mujeres,2016,"18.372,96","1,57"
09 Cataluña,Mujeres,2015,"18.088,32","0,69"
09 Cataluña,Mujeres,2014,"17.964,44","0,01"
09 Cataluña,Mujeres,2013,"17.962,12","-0,48"
09 Cataluña,Mujeres,2012,"18.049,47","-0,88"
09 Cataluña,Mujeres,2011,"18.209,10","1,07"
09 Cataluña,Mujeres,2010,"18.016,02","2,19"
09 Cataluña,Mujeres,2009,"17.630,34","4,02"
09 Cataluña,Mujeres,2008,"16.949,36",
09 Cataluña,Hombres,2022,"27.410,44","3,52"
09 Cataluña,Hombres,2021,"26.477,82","3,78"
09 Cataluña,Hombres,2020,"25.514,32","2,98"
09 Cataluña,Hombres,2019,"24.775,69","-0,22"
09 Cataluña,Hombres,2018,"24.831,22","1,46"
09 Cataluña,Hombres,2017,"24.473,89","1,76"
09 Cataluña,Hombres,2016,"24.050,27","1,31"
09 Cataluña,Hombres,2015,"23.738,27","0,1"
09 Cataluña,Hombres,2014,"23.715,30","-0,87"
09 Cataluña,Hombres,2013,"23.922,50","-0,33"
09 Cataluña,Hombres,2012,"24.001,24","-0,38"
09 Cataluña,Hombres,2011,"24.093,65","2,58"
09 Cataluña,Hombres,2010,"23.488,62","1,26"
09 Cataluña,Hombres,2009,"23.196,66","3,2"
09 Cataluña,Hombres,2008,"22.477,59",
10 Comunidad Valenciana,Ambos sexos,2022,"20.768,80","4,67"
10 Comunidad Valenciana,Ambos sexos,2021,"19.842,63","3,84"
10 Comunidad Valenciana,Ambos sexos,2020,"19.108,09","2,46"
10 Comunidad Valenciana,Ambos sexos,2019,"18.650,01","-1,26"
10 Comunidad Valenciana,Ambos sexos,2018,"18.887,40","3,15"
10 Comunidad Valenciana,Ambos sexos,2017,"18.310,86","1,68"
10 Comunidad Valenciana,Ambos sexos,2016,"18.008,49","0,05"
10 Comunidad Valenciana,Ambos sexos,2015,"18.000,00","0,8"
10 Comunidad Valenciana,Ambos sexos,2014,"17.856,70","-0,05"
10 Comunidad Valenciana,Ambos sexos,2013,"17.865,28","-1,16"
