ccaa;periodo;origen;dif_finmes;espacio_insuf;gasto_elevado;hogares_mono;precio_alquiler_periodo_label;precio_alquiler;precio_venta_periodo_label;precio_venta;retrasos_pagos;salario_destinado
Comunidad Foral de Navarra;2017;real;1,40;0,00;4,60;23,20;2017;6,89;2017;1042,00;2,20;0,35
Comunidad Foral de Navarra;2018;real;10,40;2,00;4,30;21,80;2018;7,44;2018;1638,00;10,30;0,38
Comunidad Foral de Navarra;2019;real;7,40;2,70;4,90;21,90;2019;8,02;2019;1264,00;6,90;0,39
Comunidad Foral de Navarra;2020;real;5,90;6,60;7,10;22,20;2020;8,49;2020;1456,00;11,40;0,40
Comunidad Foral de Navarra;2021;proyeccion;NA;NA;NA;22,61;NA;NA;NA;NA;NA;NA
Comunidad Foral de Navarra;2021;real;6,40;5,10;6,10;NA;2021;8,89;2021;1676,00;10,30;0,42
Comunidad Foral de Navarra;2022;proyeccion;NA;NA;NA;22,58;NA;NA;NA;NA;NA;NA
Comunidad Foral de Navarra;2022;real;6,40;6,70;8,00;NA;2022;9,24;2022;1891,00;10,80;0,42
Comunidad Foral de Navarra;2023;proyeccion;NA;NA;NA;22,48;NA;NA;NA;NA;NA;NA
Comunidad Foral de Navarra;2023;real;7,20;8,10;9,10;NA;2023;9,61;2023;2068,00;11,90;0,41
Comunidad Foral de Navarra;2024;proyeccion;7,02;7,67;7,97;22,49;NA;NA;NA;NA;11,83;0,44
Comunidad Foral de Navarra;2024;real;NA;NA;NA;NA;2024;10,14;2024;2177,00;NA;NA
Comunidad Foral de Navarra;2025;proyeccion;7,76;7,50;7,70;22,55;NA;NA;NA;NA;12,22;0,45
Comunidad Foral de Navarra;2025;real;NA;NA;NA;NA;2025;10,64;2025-07;2357,00;NA;NA
Comunidad Foral de Navarra;2026;proyeccion;7,46;7,39;8,01;22,54;NA;NA;NA;NA;12,17;0,44
Comunidad Foral de Navarra;2026;real;NA;NA;NA;NA;2026-03;10,72;NA;NA;NA;NA
