ccaa_id3,ccaa,anio,pib_regional_eur,origen_pib,concepto,pct_pib_regional,importe_eur
cnt,Cantabria,2025,18399077585.3196,proyeccion,sanidad,6.6596,1225308481.0
cnt,Cantabria,2026,19638827481.9118,proyeccion,sanidad,6.7421,1324077382.0
cym,Cast. y León,2015,53183396000.0,real,sanidad,6.1156,3252486438.0
cym,Cast. y León,2016,54630532000.0,real,sanidad,6.0132,3285027920.0
cym,Cast. y León,2017,55879293000.0,real,sanidad,6.1681,3446716392.0
cym,Cast. y León,2018,58326859000.0,real,sanidad,6.0777,3544930466.0
cym,Cast. y León,2019,59649198000.0,real,sanidad,5.943,3544930466.0
cym,Cast. y León,2020,54794589000.0,real,sanidad,6.4695,3544930466.0
cym,Cast. y León,2021,59465900000.0,real,sanidad,7.2596,4316967631.0
cym,Cast. y León,2022,65467208000.0,real,sanidad,6.5941,4316967631.0
cym,Cast. y León,2023,69893920000.0,real,sanidad,6.7102,4690046743.0
cym,Cast. y León,2024,73992645000.0,real,sanidad,6.5044,4812765002.0
cym,Cast. y León,2025,77233592986.7985,proyeccion,sanidad,6.2314,4812765002.0
cym,Cast. y León,2026,80786752445.5297,proyeccion,sanidad,5.9574,4812765002.0
ext,Extremadura,2015,18494971000.0,real,sanidad,7.4445,1376856967.0
ext,Extremadura,2016,19069471000.0,real,sanidad,8.1287,1550101891.0
ext,Extremadura,2017,20169546000.0,real,sanidad,7.6306,1539066245.0
ext,Extremadura,2018,20713254000.0,real,sanidad,7.7436,1603961004.0
ext,Extremadura,2019,21166132000.0,real,sanidad,7.9897,1691119508.0
ext,Extremadura,2020,19497343000.0,real,sanidad,8.9372,1742520488.0
ext,Extremadura,2021,21551517000.0,real,sanidad,8.7071,1876516389.0
