ccaa;periodo;genero;origen;abandono_temprano;nivel_superior_25_34;nivel_bajo_25_64;formacion_adultos_25_64;neet_15_29;idoneidad_15;graduacion_eso;escolarizacion_0_2
Aragón;2021;total;real;13,0;52,4;30,9;15,2;9,8;73,0;78,0;36,0
Aragón;2022;hombres;real;15,8;52,0;37,1;14,1;9,4;70,8;75,7;38,6
Aragón;2022;mujeres;real;8,8;57,7;29,9;17,6;12,1;77,0;82,8;38,0
Aragón;2022;total;real;12,5;54,8;33,6;15,8;10,7;73,8;79,1;38,3
Aragón;2023;hombres;real;11,3;49,2;36,4;14,1;10,3;66,9;73,4;40,1
Aragón;2023;mujeres;real;10,2;52,8;30,7;18,3;9,9;73,8;84,1;39,4
Aragón;2023;total;real;10,8;51,0;33,6;16,2;10,1;70,2;78,5;39,7
Aragón;2024;hombres;proyeccion;12,8;41,8;37,1;13,1;9,7;68,5;73,7444;40,4
Aragón;2024;mujeres;proyeccion;11,0;54,0;31,7;17,6;9,7;74,6;83,5889;40,5
Aragón;2024;total;proyeccion;11,9;47,7;34,5;15,3;9,7;71,5;78,5222;40,5
Aragón;2025;hombres;proyeccion;13,4;46,0;37,0;13,2;10,0;68,5;73,7444;40,4
Aragón;2025;mujeres;proyeccion;11,0;53,6;33,1;17,0;11,5;74,6;83,5889;40,5
Aragón;2025;total;proyeccion;12,3;49,6;35,1;15,1;10,7;71,5;78,5222;40,5
Aragón;2026;hombres;proyeccion;11,4036;46,0;37,0;13,2;9,765;68,5;73,7444;40,4
Aragón;2026;mujeres;proyeccion;11,0;53,6;33,1;17,0;8,3964;74,6;83,5889;40,5
Aragón;2026;total;proyeccion;12,3;49,6;35,1;15,1;10,7;71,5;78,5222;40,5
Canarias;2015;hombres;real;26,4;27,9;52,1;8,0;25,0;56,8;74,5;13,6
Canarias;2015;mujeres;real;17,5;36,5;46,6;9,9;23,4;67,8;85,3;13,6
Canarias;2015;total;real;21,9;32,3;49,3;8,9;24,2;62,1;79,7;13,6
Canarias;2016;hombres;real;24,5;29,9;48,5;7,1;20,2;57,8;68,0;16,9
Canarias;2016;mujeres;real;13,1;40,7;43,7;9,8;21,3;68,3;79,0;16,5
Canarias;2016;total;real;18,9;35,4;46,1;8,4;20,8;62,9;73,3;16,7
Canarias;2017;hombres;real;19,9;31,4;48,0;7,9;17,6;59,2;73,2;21,3
Canarias;2017;mujeres;real;15,3;43,3;42,3;10,6;20,6;69,3;84,5;20,1
Canarias;2017;total;real;17,5;37,5;45,2;9,2;19,1;64,1;78,7;20,7
Canarias;2018;hombres;real;23,9;32,9;46,9;8,8;19,7;61,7;75,5;22,8
Canarias;2018;mujeres;real;18,1;44,9;42,2;11,3;18,6;71,6;85,0;23,1
Canarias;2018;total;real;20,9;39,0;44,6;10,0;19,1;66,5;80,1;23,0
Canarias;2019;hombres;real;24,8;34,8;45,4;8,0;21,2;62,1;81,8;23,3
Canarias;2019;mujeres;real;16,7;49,8;40,1;12,0;18,6;72,3;90,2;22,7
Canarias;2019;total;real;20,8;42,4;42,7;10,0;19,9;67,1;85,9;23,0
Canarias;2020;hombres;real;21,8;35,2;43,3;8,5;25,9;67,2;81,4;20,9
Canarias;2020;mujeres;real;14,7;49,6;35,7;11,8;20,5;75,6;89,0;21,0
Canarias;2020;total;real;18,2;42,5;39,5;10,2;23,2;71,3;85,1;21,0
Canarias;2021;hombres;real;16,9;32,4;43,0;11,5;21,5;68,8;77,8;25,5
Canarias;2021;mujeres;real;6,4;48,7;35,2;15,4;18,1;76,9;85,6;25,4
Canarias;2021;total;real;12,0;40,6;39,1;13,4;19,8;72,8;81,6;25,4
