comunidades_autónomas;periodo;género;trastornos
03 Principado de Asturias;2021;total;17,676
03 Principado de Asturias;2022;hombres;13,53091995
03 Principado de Asturias;2022;mujeres;26,56315469
03 Principado de Asturias;2022;total;20,35794056
03 Principado de Asturias;2023;hombres;13,75264374
03 Principado de Asturias;2023;mujeres;26,8229575
03 Principado de Asturias;2023;total;20,60032884
04 Islas Baleares;2013;hombres;12,92
04 Islas Baleares;2013;mujeres;24,584
04 Islas Baleares;2013;total;18,832
04 Islas Baleares;2014;hombres;13,256
04 Islas Baleares;2014;mujeres;24,898
04 Islas Baleares;2014;total;19,156
04 Islas Baleares;2015;hombres;14,685
04 Islas Baleares;2015;mujeres;27,165
04 Islas Baleares;2015;total;21,004
04 Islas Baleares;2016;hombres;15,847
04 Islas Baleares;2016;mujeres;28,636
04 Islas Baleares;2016;total;22,317
04 Islas Baleares;2017;hombres;15,215
04 Islas Baleares;2017;mujeres;26,876
04 Islas Baleares;2017;total;21,108
04 Islas Baleares;2018;hombres;16,141
04 Islas Baleares;2018;mujeres;28,521
04 Islas Baleares;2018;total;22,39
04 Islas Baleares;2019;hombres;17,059
04 Islas Baleares;2019;mujeres;29,949
04 Islas Baleares;2019;total;23,559
04 Islas Baleares;2020;hombres;17,639
04 Islas Baleares;2020;mujeres;31,135
04 Islas Baleares;2020;total;24,442
04 Islas Baleares;2021;hombres;17,458
04 Islas Baleares;2021;mujeres;30,167
04 Islas Baleares;2021;total;23,857
04 Islas Baleares;2022;hombres;17,52394445
04 Islas Baleares;2022;mujeres;29,86912757
04 Islas Baleares;2022;total;23,74607718
04 Islas Baleares;2023;hombres;17,74030697
04 Islas Baleares;2023;mujeres;30,29997401
04 Islas Baleares;2023;total;24,06453669
05 Canarias;2013;hombres;11,245
05 Canarias;2013;mujeres;20,497
05 Canarias;2013;total;15,931
05 Canarias;2014;hombres;12,129
05 Canarias;2014;mujeres;22,017
05 Canarias;2014;total;17,138
05 Canarias;2015;hombres;13,122
05 Canarias;2015;mujeres;23,559
05 Canarias;2015;total;18,409
05 Canarias;2016;hombres;14,041
05 Canarias;2016;mujeres;24,941
05 Canarias;2016;total;19,564
05 Canarias;2017;hombres;15,01
05 Canarias;2017;mujeres;26,097
05 Canarias;2017;total;20,63
05 Canarias;2018;hombres;15,782
05 Canarias;2018;mujeres;27,162
05 Canarias;2018;total;21,551
05 Canarias;2019;hombres;17,131
05 Canarias;2019;mujeres;28,954
05 Canarias;2019;total;23,137
05 Canarias;2020;hombres;18,725
