Comunidades autónomas;Periodo;precio
00 Media estatal;2014;7,2
00 Media estatal;2015;7,4
00 Media estatal;2016;8,2
00 Media Estatal;2025;13,8
00 Media estatal;2009;
00 Media estatal;2013;
00 Media estatal;2017;
00 Media estatal;2018;
00 Media estatal;2019;
00 Media estatal;2020;
00 Media estatal;2021;
00 Media estatal;2022;
00 Media estatal;2023;
00 Media estatal;2024;
