horas;grado I;grado II;grado III;total;servicio;fecha
De 11 a 15;9,78708626718398e-02;4,79935245724334e-02;1,26737530662306e-02;0,062316166536712653;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-03-31
De 16 a 20;4,73529482205298e-01;1,20856040359777e-02;2,24984668847097e-02;0,212506980203242907;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-03-31
De 21 a 30;6,57841164918331e-02;1,74997034421642e-01;1,29599345870809e-01;0,118914356444561123;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-03-31
De 31 a 45;3,35895962063515e-03;7,00609164683800e-01;2,21918438266558e-02;0,264290438215229573;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-03-31
De 46 a 55;5,74795229199598e-04;4,21600574973310e-02;1,11559689288635e-01;0,038265667178762681;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-03-31
De 56 a 65;1,01187910140346e-03;9,35029411559476e-04;1,04098528209321e-01;0,021747353956134731;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-03-31
De 66 a 70;1,91598409733199e-04;5,30315188645673e-04;5,42032910874898e-01;0,109454733542803759;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-03-31
71 o más;2,32911816831920e-03;5,40084152647040e-03;4,92385527391660e-02;0,012910480984253693;7. INTENSIDAD DE LA AYUDA A DOMICILIO NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA;2023-03-31
Menos de 5;3,05914848750353e-03;1,83285330032611e-03;1,11851818710572e-03;0,002190600554057187;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-04-30
De 5 a 10;4,39811996020137e-01;1,58609253132116e-02;5,95051675540244e-03;0,188034683491780680;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-04-30
De 11 a 15;9,76180222456526e-02;5,49776645799116e-02;1,51223658896694e-02;0,064345077555802349;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-04-30
De 16 a 20;4,00763302098338e-01;1,30838748581721e-02;2,66207328531162e-02;0,175150413102110047;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-04-30
De 21 a 30;5,33791710598613e-02;1,86705069307245e-01;1,52536053569564e-01;0,124931353046704316;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-04-30
De 31 a 45;3,71998396174579e-03;6,90033562638357e-01;2,51741159977928e-02;0,272012789690142920;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-04-30
De 46 a 55;5,86584297361113e-04;3,47607372672237e-02;1,22306235366054e-01;0,038628403363395611;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-04-30
De 56 a 65;4,00956355158229e-04;8,09311846897241e-04;9,04508373972827e-02;0,018980119842325578;7. INTENSIDAD DE LA AYUDA A DOMICILIO;2023-04-30
