"ccaa","periodo","genero","pct_pib_sanidad","imp_sanidad_eur","pib_regional_eur","origen_pib"
"Principado de Asturias",2022,"total",7.4461,1987383547,26690102000,"real"
"Principado de Asturias",2023,"total",7.4619,2115483423,28350371000,"real"
"Principado de Asturias",2024,"total",7.7397,2322856371,30012308000,"real"
"Principado de Asturias",2025,"total",7.84,2446640883,31206996480.0363,"proyeccion"
"Principado de Asturias",2026,"total",7.8343,2549313952,32540503695.6435,"proyeccion"
"Islas Baleares",2015,"total",4.5136,1293305893,28653742000,"real"
"Islas Baleares",2016,"total",4.5317,1370092639,30233284000,"real"
"Islas Baleares",2017,"total",4.6407,1473247771,31746251000,"real"
"Islas Baleares",2018,"total",4.6837,1554338007,33185968000,"real"
"Islas Baleares",2019,"total",4.9689,1706834266,34350576000,"real"
"Islas Baleares",2020,"total",6.3948,1705436416,26669106000,"real"
"Islas Baleares",2021,"total",5.7693,1760322500,30512146000,"real"
"Islas Baleares",2022,"total",5.2113,1938048858,37189162000,"real"
"Islas Baleares",2023,"total",5.2971,2198416178,41502526000,"real"
"Islas Baleares",2024,"total",5.0832,2271828953,44692852000,"real"
"Islas Baleares",2025,"total",5.0725,2392009631,47156552442.1196,"proyeccion"
"Islas Baleares",2026,"total",4.7736,2424124341,50781507109.3719,"proyeccion"
"Canarias",2015,"total",6.2057,2459743096,39636569000,"real"
"Canarias",2016,"total",6.0901,2495715117,40979670000,"real"
"Canarias",2017,"total",5.9406,2556566464,43035839000,"real"
"Canarias",2018,"total",6.1412,2739535209,44609266000,"real"
"Canarias",2019,"total",6.1896,2832787821,45766832000,"real"
"Canarias",2020,"total",7.9033,2970650193,37587399000,"real"
"Canarias",2021,"total",7.4588,3088468435,41407275000,"real"
"Canarias",2022,"total",6.5948,3225421670,48908196000,"real"
"Canarias",2023,"total",6.6228,3575652999,53990089000,"real"
"Canarias",2024,"total",7.0655,4108181841,58144618000,"real"
"Canarias",2025,"total",7.0562,4308657056,61062044154.199,"proyeccion"
"Canarias",2026,"total",6.9069,4542045217,65760759009.7699,"proyeccion"
"Cataluña",2015,"total",4.0006,8258548090.72,206434270000,"real"
"Cataluña",2016,"total",3.9776,8531977179.82,214502547000,"real"
"Cataluña",2017,"total",3.8615,8616575864.15,223139777000,"real"
"Cataluña",2018,"total",3.7285,8616575864.15,231101287000,"real"
"Cataluña",2019,"total",3.8033,9134162335.42,240165818000,"real"
"Cataluña",2020,"total",4.4189,9494241602.78,214857435000,"real"
"Cataluña",2021,"total",4.0432,9494241602.78,234820402000,"real"
"Cataluña",2022,"total",4.0013,10354756810.75,258787407000,"real"
"Cataluña",2023,"total",4.0015,11335301941,283274025000,"real"
"Cataluña",2024,"total",3.8858,11747006548.59,302303884000,"real"
"Cataluña",2025,"total",3.7354,11747006548.59,314476551469.544,"proyeccion"
"Cataluña",2026,"total",3.875,13004607194.14,335602542224.509,"proyeccion"
"Castilla-La Mancha",2015,"total",6.3499,2412822220,37998035000,"real"
"Castilla-La Mancha",2016,"total",6.7217,2630611680,39136242000,"real"
"Castilla-La Mancha",2017,"total",6.6839,2724969590,40768959000,"real"
"Castilla-La Mancha",2018,"total",6.6426,2809202270,42290925000,"real"
"Castilla-La Mancha",2019,"total",6.4738,2809202270,43393303000,"real"
"Castilla-La Mancha",2020,"total",7.5532,3040499320,40254360000,"real"
"Castilla-La Mancha",2021,"total",8.4252,3717533530,44123986000,"real"
"Castilla-La Mancha",2022,"total",7.3418,3673248580,50032018000,"real"
"Castilla-La Mancha",2023,"total",6.9958,3675941730,52544941000,"real"
"Castilla-La Mancha",2024,"total",7.0367,3909573620,55559897000,"real"
"Castilla-La Mancha",2025,"total",6.6246,3834163140,57877789156.0775,"proyeccion"
"Castilla-La Mancha",2026,"total",6.8169,4126166360,60528774710.7235,"proyeccion"
"Cantabria",2015,"total",6.358,791173926,12443843000,"real"
"Cantabria",2016,"total",6.2946,807838982,12833899000,"real"
"Cantabria",2017,"total",6.2103,827085351,13318023000,"real"
"Cantabria",2018,"total",6.1644,853389380,13843935000,"real"
"Cantabria",2019,"total",6.143,876879573,14274351000,"real"
"Cantabria",2020,"total",7.1073,923332337,12991241000,"real"
"Cantabria",2021,"total",7.0195,997231051,14206538000,"real"
