ccaa;fecha;pendientes_grado_total;pendientes_grado_6m_o_mas
Comunidad de Madrid;2024-11-01;97;69
Región de Murcia;2024-11-01;7834;5403
Comunidad Foral de Navarra;2024-11-01;73;72
País Vasco;2024-11-01;157;148
La Rioja;2024-11-01;30;24
Ceuta y Melilla;2024-11-01;231;49
Castilla y León;2024-11-01;NA;NA
Andalucía;2024-12-01;32099;31870
Aragón;2024-12-01;4663;1061
Principado de Asturias;2024-12-01;8598;3851
Islas Baleares;2024-12-01;2194;1219
Canarias;2024-12-01;16501;10455
Cantabria;2024-12-01;182;103
Castilla y León;2024-12-01;4219;0
Castilla-La Mancha;2024-12-01;1658;231
Cataluña;2024-12-01;30018;8328
Comunidad Valenciana;2024-12-01;17029;11968
Extremadura;2024-12-01;2723;376
Galicia;2024-12-01;52;52
Comunidad de Madrid;2024-12-01;102;74
Región de Murcia;2024-12-01;7384;5859
Comunidad Foral de Navarra;2024-12-01;71;69
País Vasco;2024-12-01;152;147
La Rioja;2024-12-01;30;23
Ceuta y Melilla;2024-12-01;204;51
Castilla y León;2024-12-01;NA;NA
Andalucía;2025-01-01;32433;32301
Aragón;2025-01-01;4414;819
Principado de Asturias;2025-01-01;8473;3661
Islas Baleares;2025-01-01;2196;1288
Canarias;2025-01-01;15940;10122
Cantabria;2025-01-01;194;103
Castilla y León;2025-01-01;3617;101
Castilla-La Mancha;2025-01-01;3154;501
Cataluña;2025-01-01;32698;9895
Comunidad Valenciana;2025-01-01;17161;12299
Extremadura;2025-01-01;2504;319
Galicia;2025-01-01;49;49
Comunidad de Madrid;2025-01-01;84;69
Región de Murcia;2025-01-01;7083;6047
Comunidad Foral de Navarra;2025-01-01;68;65
País Vasco;2025-01-01;151;146
La Rioja;2025-01-01;31;22
Ceuta y Melilla;2025-01-01;262;47
Castilla y León;2025-01-01;NA;NA
Andalucía;2025-02-01;30806;30725
Aragón;2025-02-01;4403;512
Principado de Asturias;2025-02-01;8347;3404
Islas Baleares;2025-02-01;2270;1295
Canarias;2025-02-01;12286;7243
Cantabria;2025-02-01;376;112
Castilla y León;2025-02-01;3174;45
Castilla-La Mancha;2025-02-01;3214;578
Cataluña;2025-02-01;31614;7670
Comunidad Valenciana;2025-02-01;14767;9763
Extremadura;2025-02-01;2334;256
Galicia;2025-02-01;49;48
Comunidad de Madrid;2025-02-01;345;225
Región de Murcia;2025-02-01;7492;5774
Comunidad Foral de Navarra;2025-02-01;68;65
