ccaa;fecha;tiempo_solicitud_grado;tiempo_grado_prestacion;tiempo_espera_total_dias
Castilla y León;2024-12-01;NA;NA;NA
Andalucía;2025-01-01;421,27;200,35;596,75
Aragón;2025-01-01;139,54;40,78;185,71
Principado de Asturias;2025-01-01;308,02;23,73;345,68
Islas Baleares;2025-01-01;123,90;127,53;248,46
Canarias;2025-01-01;397,75;163,04;555,89
Cantabria;2025-01-01;162,37;45,60;206,86
Castilla y León;2025-01-01;114,08;0,11;118,89
Castilla-La Mancha;2025-01-01;119,82;62,88;186,36
Cataluña;2025-01-01;183,07;94,68;269,84
Comunidad Valenciana;2025-01-01;249,56;80,36;314,59
Extremadura;2025-01-01;129,29;146,33;278,16
Galicia;2025-01-01;255,46;129,34;386,91
Comunidad de Madrid;2025-01-01;194,25;64,20;307,90
Región de Murcia;2025-01-01;321,20;241,97;524,80
Comunidad Foral de Navarra;2025-01-01;136,00;74,23;204,76
País Vasco;2025-01-01;69,53;53,90;126,30
La Rioja;2025-01-01;56,67;175,27;223,72
Castilla y León;2025-01-01;NA;NA;NA
Andalucía;2025-02-01;432,83;181,75;592,02
Aragón;2025-02-01;139,70;37,84;182,09
Principado de Asturias;2025-02-01;311,41;15,59;344,43
Islas Baleares;2025-02-01;124,48;124,81;247,01
Canarias;2025-02-01;393,64;159,00;551,26
Cantabria;2025-02-01;162,47;42,32;202,51
Castilla y León;2025-02-01;112,17;0,08;116,39
Castilla-La Mancha;2025-02-01;118,32;63,43;183,65
Cataluña;2025-02-01;185,02;91,58;266,67
Comunidad Valenciana;2025-02-01;252,47;72,56;313,47
Extremadura;2025-02-01;130,24;146,02;277,90
Galicia;2025-02-01;252,76;131,28;387,74
Comunidad de Madrid;2025-02-01;198,50;63,55;310,94
Región de Murcia;2025-02-01;323,64;243,69;532,98
Comunidad Foral de Navarra;2025-02-01;136,19;72,45;204,88
País Vasco;2025-02-01;70,63;52,85;125,33
La Rioja;2025-02-01;57,92;180,92;229,28
Castilla y León;2025-02-01;NA;NA;NA
Andalucía;2025-03-01;463,54;165,59;586,52
Aragón;2025-03-01;138,27;35,61;178,93
