ccaa;solicitudes;fecha
Cantabria;23683;2025-08-01
Castilla y León;161372;2025-08-01
Castilla-La Mancha;104263;2025-08-01
Cataluña;409358;2025-08-01
Comunidad Valenciana;228773;2025-08-01
Extremadura;60681;2025-08-01
Galicia;94599;2025-08-01
Comunidad de Madrid;272026;2025-08-01
Región de Murcia;72177;2025-08-01
Comunidad Foral de Navarra;23731;2025-08-01
País Vasco;120133;2025-08-01
La Rioja;14720;2025-08-01
Ceuta y Melilla;5854;2025-08-01
Andalucía;430507;2025-09-01
Aragón;60372;2025-09-01
Principado de Asturias;50778;2025-09-01
Islas Baleares;49903;2025-09-01
Canarias;78043;2025-09-01
Cantabria;23666;2025-09-01
Castilla y León;161623;2025-09-01
Castilla-La Mancha;103929;2025-09-01
Cataluña;411492;2025-09-01
Comunidad Valenciana;232662;2025-09-01
Extremadura;60913;2025-09-01
Galicia;95826;2025-09-01
Comunidad de Madrid;274638;2025-09-01
Región de Murcia;73141;2025-09-01
Comunidad Foral de Navarra;23677;2025-09-01
País Vasco;120805;2025-09-01
La Rioja;14704;2025-09-01
Ceuta y Melilla;5886;2025-09-01
Andalucía;437319;2025-10-01
Aragón;60843;2025-10-01
Principado de Asturias;50819;2025-10-01
Islas Baleares;50307;2025-10-01
Canarias;78559;2025-10-01
Cantabria;23614;2025-10-01
Castilla y León;162195;2025-10-01
Castilla-La Mancha;103813;2025-10-01
Cataluña;415244;2025-10-01
Comunidad Valenciana;233083;2025-10-01
Extremadura;61690;2025-10-01
Galicia;97778;2025-10-01
Comunidad de Madrid;277217;2025-10-01
Región de Murcia;74140;2025-10-01
Comunidad Foral de Navarra;23753;2025-10-01
País Vasco;121300;2025-10-01
La Rioja;14923;2025-10-01
Ceuta y Melilla;5900;2025-10-01
Andalucía;446477;2025-11-01
Aragón;61070;2025-11-01
Principado de Asturias;50331;2025-11-01
Islas Baleares;50514;2025-11-01
Canarias;78692;2025-11-01
Cantabria;23973;2025-11-01
Castilla y León;162549;2025-11-01
Castilla-La Mancha;103200;2025-11-01
Cataluña;418807;2025-11-01
Comunidad Valenciana;236880;2025-11-01
Extremadura;62199;2025-11-01
Galicia;99310;2025-11-01
Comunidad de Madrid;277873;2025-11-01
Región de Murcia;74523;2025-11-01
Comunidad Foral de Navarra;24172;2025-11-01
País Vasco;121661;2025-11-01
La Rioja;15053;2025-11-01
Ceuta y Melilla;5917;2025-11-01
Andalucía;456133;2025-12-01
Aragón;61425;2025-12-01
Principado de Asturias;50073;2025-12-01
Islas Baleares;50646;2025-12-01
Canarias;79243;2025-12-01
Cantabria;23795;2025-12-01
Castilla y León;162682;2025-12-01
Castilla-La Mancha;104062;2025-12-01
Cataluña;419673;2025-12-01
Comunidad Valenciana;236730;2025-12-01
Extremadura;62130;2025-12-01
Galicia;100525;2025-12-01
Comunidad de Madrid;277807;2025-12-01
Región de Murcia;74588;2025-12-01
Comunidad Foral de Navarra;24200;2025-12-01
País Vasco;121716;2025-12-01
La Rioja;14974;2025-12-01
Ceuta y Melilla;5913;2025-12-01
Andalucía;459849;2026-01-01
Aragón;61572;2026-01-01
Principado de Asturias;49590;2026-01-01
Islas Baleares;50711;2026-01-01
Canarias;82033;2026-01-01
Cantabria;23419;2026-01-01
Castilla y León;161835;2026-01-01
Castilla-La Mancha;104072;2026-01-01
Cataluña;420773;2026-01-01
Comunidad Valenciana;235704;2026-01-01
Extremadura;61911;2026-01-01
Galicia;99635;2026-01-01
Comunidad de Madrid;280628;2026-01-01
Región de Murcia;74450;2026-01-01
Comunidad Foral de Navarra;23997;2026-01-01
País Vasco;121274;2026-01-01
La Rioja;15002;2026-01-01
Ceuta y Melilla;5917;2026-01-01
Andalucía;463883;2026-02-01
Aragón;61626;2026-02-01
Principado de Asturias;49598;2026-02-01
Islas Baleares;50699;2026-02-01
Canarias;82362;2026-02-01
Cantabria;22868;2026-02-01
Castilla y León;160600;2026-02-01
Castilla-La Mancha;103777;2026-02-01
Cataluña;420846;2026-02-01
Comunidad Valenciana;239044;2026-02-01
Extremadura;61714;2026-02-01
Galicia;98981;2026-02-01
Comunidad de Madrid;278856;2026-02-01
Región de Murcia;74124;2026-02-01
Comunidad Foral de Navarra;23909;2026-02-01
País Vasco;120741;2026-02-01
La Rioja;15061;2026-02-01
Ceuta y Melilla;5889;2026-02-01
Andalucía;469701;2026-03-01
Aragón;62021;2026-03-01
Principado de Asturias;50301;2026-03-01
Islas Baleares;50958;2026-03-01
Canarias;83951;2026-03-01
Cantabria;25014;2026-03-01
Castilla y León;160682;2026-03-01
Castilla-La Mancha;104747;2026-03-01
Cataluña;423410;2026-03-01
Comunidad Valenciana;239221;2026-03-01
Extremadura;61962;2026-03-01
Galicia;100175;2026-03-01
Comunidad de Madrid;282861;2026-03-01
Región de Murcia;74212;2026-03-01
Comunidad Foral de Navarra;24006;2026-03-01
País Vasco;120998;2026-03-01
La Rioja;15153;2026-03-01
Ceuta y Melilla;5897;2026-03-01
