"ccaa","genero","variable","periodo","valor","li_95","ls_95","imputado"
"Castilla-La Mancha","total","mort_evitable_idx",2025,0.565594465057363,0.534862950155969,0.595749990463495,TRUE
"Cataluña","hombres","mort_evitable_idx",2025,0.806399217836359,0.696362451432308,0.971061803497829,TRUE
"Cataluña","mujeres","mort_evitable_idx",2025,0.369596329812625,0.330288959316567,0.420030679899051,TRUE
"Cataluña","total","mort_evitable_idx",2025,0.573817153267332,0.499417825816308,0.690710522506215,TRUE
"Ceuta","hombres","mort_evitable_idx",2025,1.09465224156731,0.9472518115592,1.3660247511177,TRUE
"Ceuta","mujeres","mort_evitable_idx",2025,0.61805152265004,0.393881522609461,0.753739077567419,TRUE
"Ceuta","total","mort_evitable_idx",2025,0.84393665765785,0.73623298479722,1.0141536785319,TRUE
"Comunidad Foral de Navarra","hombres","mort_evitable_idx",2025,0.783712265131561,0.72028605775565,0.927629742231681,TRUE
"Comunidad Foral de Navarra","mujeres","mort_evitable_idx",2025,0.376288602552847,0.325740307587223,0.418575012572147,TRUE
"Comunidad Foral de Navarra","total","mort_evitable_idx",2025,0.582758465163145,0.527956323128433,0.652981499570821,TRUE
"Comunidad Valenciana","hombres","mort_evitable_idx",2025,0.916786187324452,0.802935801256849,1.00928728334227,TRUE
"Comunidad Valenciana","mujeres","mort_evitable_idx",2025,0.423317463710581,0.387459677497874,0.466391204372646,TRUE
"Comunidad Valenciana","total","mort_evitable_idx",2025,0.650686200826876,0.578314294254282,0.721928263057621,TRUE
"Comunidad de Madrid","hombres","mort_evitable_idx",2025,0.64675013275538,0.571445612666188,0.737312662791996,TRUE
"Comunidad de Madrid","mujeres","mort_evitable_idx",2025,0.30585230444403,0.260791416934043,0.348379609381254,TRUE
"Comunidad de Madrid","total","mort_evitable_idx",2025,0.461670887323129,0.40034911449607,0.52884471321533,TRUE
"Extremadura","hombres","mort_evitable_idx",2025,0.852842626166176,0.800050532637517,0.908351744790508,TRUE
"Extremadura","mujeres","mort_evitable_idx",2025,0.360893940268707,0.326568190043587,0.390304592452831,TRUE
"Extremadura","total","mort_evitable_idx",2025,0.604951596436706,0.537104196350023,0.635355499115012,TRUE
"Galicia","hombres","mort_evitable_idx",2025,0.878851002368597,0.73079841868645,1.07573795957951,TRUE
"Galicia","mujeres","mort_evitable_idx",2025,0.371819677440316,0.319189213053146,0.396522597668002,TRUE
"Galicia","total","mort_evitable_idx",2025,0.615528244217581,0.506086015460178,0.728743188044425,TRUE
"Islas Baleares","hombres","mort_evitable_idx",2025,0.797263691307903,0.75673309375458,0.861840446393005,TRUE
"Islas Baleares","mujeres","mort_evitable_idx",2025,0.420009791441384,0.364372371271776,0.449771754009229,TRUE
"Islas Baleares","total","mort_evitable_idx",2025,0.609948124025536,0.55396993528216,0.70798801187117,TRUE
"La Rioja","hombres","mort_evitable_idx",2025,0.873829459020401,0.75794197375422,0.95083290577095,TRUE
